country,2020,2021,2022,2023,2024,
pop1_2020,pop2_2020,pop1_2021,pop2_2021,pop1_2022,pop2_2022,pop1_2023,pop2_2023,pop1_2024,pop2_2024
Paraguay,English,Portuguese,English,Guarani,English,Portuguese,English,Portuguese,English,Portuguese
Peru,English,French,English,French,English,French,English,French,English,Portuguese
Philippines,Korean,Spanish,Japanese,Korean,Korean,Japanese,Japanese,Korean,Japanese,English
Poland,English,Spanish,English,Spanish,English,Spanish,English,Spanish,English,Spanish
Portugal,English,French,English,French,English,French,English,French,English,French
Qatar,English,French,English,French,English,French,English,Spanish,English,Spanish
Romania,English,Spanish,English,German,English,Spanish,English,Spanish,English,Spanish
Russia,English,German,English,German,English,German,English,German,English,German
Rwanda,French,Spanish,French,English,French,English,French,English,English,French
Samoa,Spanish,French,Spanish,Japanese,Spanish,Japanese,Spanish,French,Spanish,French
San Marino,English,French,English,Spanish,English,Italian,English,Italian,English,Italian
São Tomé and Príncipe,English,French,English,French,English,French,English,French,English,French
Saudi-Arabia,English,French,English,French,English,French,English,French,English,French
Senegal,English,Spanish,English,Spanish,English,Spanish,English,Spanish,English,Spanish
Serbia,German,Spanish,German,Spanish,German,Spanish,German,Spanish,German,English
Seychelles,French,Spanish,French,Spanish,English,French,English,Spanish,English,Spanish
Sierra Leone,French,Spanish,French,Spanish,French,Spanish,French,Spanish,French,Spanish
Singapore,Japanese,English,English,Japanese,English,Japanese,English,Japanese,English,Japanese
Slovakia,English,German,English,German,English,German,English,German,English,German
Slovenia,German,Spanish,German,Spanish,German,Spanish,German,Spanish,German,Spanish
Solomon Islands,Spanish,French,Spanish,Chinese,Spanish,Chinese,Spanish,French,Spanish,English
Somalia,English,Turkish,English,Turkish,English,Arabic,English,Arabic,English,Arabic
South Africa,French,Spanish,Spanish,French,Spanish,French,Spanish,French,Spanish,French
South Korea,English,Korean,English,Korean,English,Korean,English,Korean,English,Japanese
South Sudan,French,English,English,French,English,French,English,French,English,French
Spain,English,French,English,French,English,Spanish,English,Spanish,English,Spanish
Sri Lanka,French,Spanish,French,Spanish,French,Japanese,French,Japanese,English,Japanese
St Kitts and Nevis,Spanish,French,Spanish,French,Spanish,French,Spanish,French,Spanish,French
St Lucia,Spanish,French,Spanish,French,Spanish,French,Spanish,French,Spanish,French
St Vincent and the Grenadines,Spanish,French,Spanish,French,Spanish,French,Spanish,French,Spanish,French
Sudan,English,French,English,French,English,French,English,French,English,French
Suriname,English,Spanish,English,Spanish,Spanish,English,Spanish,English,Spanish,English
Sweden,Swedish,Spanish,Swedish,Spanish,Swedish,Spanish,Spanish,Swedish,Spanish,Swedish
Switzerland,English,French,English,French,English,French,English,French,English,French
Syria,English,French,English,French,English,German,English,German,English,German
Tajikistan,English,German,English,German,English,German,English,Russian,English,Russian
Tanzania,French,Swahili,Swahili,French,Swahili,French,French,Swahili,French,Swahili
Thailand,English,Spanish,English,Japanese,English,Korean,English,Japanese,English,Japanese
East Timor,English,Portuguese,English,Portuguese,English,Portuguese,English,Portuguese,English,Portuguese
Togo,English,Spanish,English,Spanish,English,Spanish,English,German,English,German
Tonga,Spanish,French,Spanish,Japanese,Spanish,French,Spanish,French,Spanish,French
Trinidad and Tobago,Spanish,French,Spanish,French,Spanish,French,Spanish,French,Spanish,French
Tunisia,English,German,English,French,English,French,English,French,English,French
Turkey,English,German,English,German,English,German,English,German,English,German
Turkmenistan,English,Russian,English,Russian,English,Russian,English,Russian,English,Russian
Tuvalu,Spanish,French,Spanish,Japanese,Spanish,French,Spanish,Japanese,Spanish,French
United Arab Emirates,English,French,English,French,English,French,English,French,English,French
Uganda,French,Spanish,French,Spanish,French,Swahili,French,Swahili,French,English
Ukraine,English,German,English,German,English,German,English,German,English,German
Uruguay,English,Portuguese,English,Italian,English,Portuguese,English,Portuguese,English,Portuguese
USA,Spanish,English,Spanish,English,Spanish,English,Spanish,English,Spanish,English
Uzbekistan,English,Russian,English,Russian,English,Russian,English,Russian,English,Russian
Vanuatu,French,Spanish,French,English,French,Spanish,French,Spanish,French,English
Vatican City,English,Italian,Italian,English,Italian,English,Italian,English,Italian,English
Venezuela,English,Italian,English,Italian,English,French,English,Portuguese,English,Portuguese
Vietnam,English,Chinese,English,Chinese,English,Chinese,English,Chinese,English,Chinese
Yemen,English,French,English,French,English,French,English,French,English,French
Zambia,French,Spanish,French,Spanish,French,Spanish,French,Spanish,French,English
Zimbabwe,French,Spanish,French,Spanish,French,Spanish,French,Spanish,French,Spanish
